PRODUCT NAME,PRODUCT URLS,PRODUCT PRICE,PRODUCT RATING,REVIEW COUNT
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=iEQWd&pd_rd_wg=DMABu&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,299,3.8 out of 5 stars,8
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=iEQWd&pd_rd_wg=DMABu&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,214,3.9 out of 5 stars,",10"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_25?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=iEQWd&pd_rd_wg=DMABu&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,699,4.2 out of 5 stars,",42"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_26_trfob_0_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=2yvSg&pd_rd_wg=DMABu&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,313,4.2 out of 5 stars,",63"
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,https://amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sxin_26_trfob_1_B09SB42QFQ?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB42QFQ&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=2yvSg&pd_rd_wg=DMABu&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,615,4.0 out of 5 stars,",05"
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),https://amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_26_trfob_2_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=2yvSg&pd_rd_wg=DMABu&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,495,4.2 out of 5 stars,
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",https://amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_26_trfob_3_B09H3H3898?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=0f24c77e-1302-49c2-9e4b-993fb8b4440f&pd_rd_w=2yvSg&pd_rd_wg=DMABu&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=W706JJJNE3NHA43MN2TB&qid=1679428396&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C358&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,974,4.0 out of 5 stars,
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-17,"1,249.",4.0 out of 5 stars,
ADISA Light Weight Laptop Backpack 32 Ltrs,https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-18,"1,199.",4.0 out of 5 stars,",65"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679428452&sprefix=ba%2Caps%2C358&sr=8-19,"1,249.",3.9 out of 5 stars,",34"
